Comentário,Nota
"ruim no atendimento por telefone , cheio de burocracia , se quiser adiantar pagamento é um deus no acuda",8
"olha e bom sim , só que .na minha última compra , vcs mudaram a política de compra pelo cartão só divide o valor no máximo 400 reais , e mas o máximo 4 vezes e estou pensando em cancelar o cartão",10
cartão excelente faço questão de fazer minhas compras com ele muito bom !,10
cartão otimo passa em todos lugares,10
facilidade na hora da compra,10
é um cartão prático e fácil de usar . e está suprindo as minha necessidade .,6
indico as pessoas adquirir o cartão,10
muitas ofertas gostei muito,10
o meu limite e baixo,8
na compra do produto não foi atendido minha expectativa,2
não deixam acessar o cartão no aplicativo,8
ótimo ? ? ? ?,10
simplesmente porque e um bom cartão,10
facilidade e descontos .,10
quero que vcs continue melhorando para chegar em nota 10,8
"gosto do cartão , o único problema é a taxa de anuidade , visto que atualmente existem vários cartões que não cobram essa taxa , depois que fiz o cartão verifiquei que vcs estavam fazendo uma promoção para quem aderisse ao cartão estavam sendo isentos de anuidade , achei isso muito ruim pq eu insisti demais com vocês para me isentarem da anuidade e vocês não me atenderam . infelizmente é isso !",6
"o cartão é muito mas fácil de comprar e com juros baixos , indico pra todos q querem um cartão , parabéns",10
"o cartão é ótimo e o limite e bom , só o aplicativo que é confuso , muda muito o resultado .",8
"o atendimento ao usuário do cartão via telefone é nota zero , agente não consegue fazer o cancelamento do cartão de forma nenhuma . isso é um absurdo .",0
aceita em qualquer lugar,10
"oque motiva a gente são as opções nas , compras a vista ou parcelas .",10
praticidade,10
porque estou muito satisfeita com o cartão,10
e aceito em todos comércios,10
nota 10,10
atendimento bom preço promoção,10
"não aumentam o limite disponível , e parcelam a fatura sem minha autorização , aí depois tenho que ficar ligando cancelando o parcelamento",2
"loja mal arejada , poucos caixas em horário de pico e demora pra resolver problemas quando o caixa chama um supervisor",3
atendimento esselente e os descontos,10
o limite é ótimo,10
possuo o cartão há mais de um ano sem que houvesse qualquer alteração no limite,0
por que vc lingam p cobra antes d tempo d pagamento,8
porque ele é muito bom,10
"a anuidade é muita cara , já pedir adesão dela e nada",7
a forma que temos de ultilizar o limite,2
simples e fácil de usar,8
atendimento e presteza,10
encontrei o que precisava .,10
ter tarifa mensal !,8
não recebo descontos em todos os produtos e a taxa de anuidade esta muito cara .,5
gosto do cartão,8
"produtosconstante no app , porém inexistente na loja .",8
preço e atendimento ótimo .,10
super descontos,10
atençao ao cliente,10
o atendimento é bom,8
a rapidez,9
"comprando com o cartão temos um desconto maior nas mercadorias e concentramos todas as compras , efetuadas no mês , em uma única data de pagamento .",10
tudo muito rápido e prático .,10
porque e um excelente cartão !,10
sempre consigo passar ele onde eu estiver muito bem mesmo parabéns,10
anuidade muito alto valor .sendo que tem cartões que não cobram anuidade !,7
é muito bom mesmo ter um cartao obregado ...,9
ótimo cartão recomendado,10
agilidade e facilidade para realizar compras .,10
"o que posso dizer , que e um cartão bom de si trabalhar , por não ser burocrático .",10
o cartão é prático e maravilhoso,10
poderia ter um limite maior pra pode compra dentro e fora da loja ele é bate bom e tbem poderia ter como paga o boleto antecipado depois q fecha a fatura,8
gosto muito do cartão é aceito em todos os lugares e sempre o limite de crédito vem subindo . a única coisa que eu queria que fosse possível era não pagar anuidade,9
"eu gosto , e só compro no e gosto muito do cartão",10
9 prq ainda n tenho meu cartão n vejo a hora de chegar,9
ótimas promoções,8
um atendimento exelente o limite sempre aumenta para nos ajudar a comprar nossos produtos temos dois limites exelente tudo de positivo,10
atendimento e agilidade,10
"o cartão é bom , mas poderia ser sem anuidaanuidade",7
tenho cartão a mais de 20 anos e meu limite nunca aumentou,2
"a nota 5 é referente a anuidade cobrada , no momento em que me ofereceram o cartão , me disseram que durante 1 ano não seria cobrado anuidade , mais no mesmo mês de pagamento de fatura veio cobrando anuidade 16,99",5
melhor opção,10
ótimo atendimento,8
pouco limite,7
rápido e prático,10
praticidade e bom atendimento,10
anuidades muito altas e fora q meu limite nunca aumenta .,8
valeu quando precisei,9
o preço dos produtos .,10
limite,4
bom crédito,10
para mim é o melhor cartão que tem . agora deveria aumentar o limite porque eu uso muito bem pago bem,10
indicaria sim porque é um mercado que eu gosto e sou bem atendido .,10
sistema fora do ar por muito tempo,4
qualidade e preço dos produtos,9
"o cartão é um ótimo cartão e aceito em qquer lugar , peça na questão pagamento por só ter uma forma de paga lo , indo até uma loja .",9
os produtos são ótimo o atendimento nota 10 e eu amo fazer compra no,10
rapidez e facilidade,10
gosto de comprar no,10
"porque o atendimento é muito bom ,",10
tem muitas promoções e praticidade,10
gosto muito desse cartão,10
porque eu tenho segurança em todas compras que eu faço com ele,10
"é um ótimo cartão , somente o limite é muito baixo .",7
"limite baixo , não confia no clínte",2
simples e prático ! uso sempre !,10
muito útil pra mim ! ! !,10
ele é muito bom mas sou cliente desde 2014 é limite de parcelado não aumenta gostaria que aumentasse pois ta cheio de outro cartão fazendo proposta .,9
minhas expectativas qto ao atendimento foram supridas .,8
"rapidez , eficiência e fácil de usar .",10
gosto muito da rede ! porém fico triste pq ainda não autorizou meu cartão com bandeira .,10
pelo atendimento e a educação dos funcionários da cidade que eu moro . os funcionários são excelentes e bem antecioso,9
me serve muito bem,10
a facilidade de poder parcelar é sensacional,8
"infelizmente gostaria de ter feito uma compra maior , porém não tive limite o suficiente e ao solicitar foi negado",1
seria nota 10 caso não cobrasse anuidade .,8
"atenção , bom 3stoque e qualidade dos produtos .",10
rápida aprovação,10
"eu estou tentando abrir o app do cartão já faz 40 dias e não consigo , já liguei mandaram eu reportar o erro e tinha que esperar 5 dias , já fiz duas vezes e nada , coloco outra senha o código que o aplicativo manda e para um número que eu não tenho mais.com o final 9646 .",0
ótimo cartão,10
otimo,9
o limite deveria ser um só pra qualquer comprar avista ou parcelado .,5
supermercado muito bom,10
"sobre o valor do seguro do cartão e todo ano cobrado no valor de 17,00 reais .",5
fácil de usar e sem burocracia .,10
pagamento de anuidade .,8
eu endicaria esse cartão pelo motivo o prazo do parcelamento a taxa de juro é razoável e sem fala no limite do cartão que é muito bom e nas vantagens que ele dar,10
pq esse cartão mim deu pouco limite já tenho tempo e com ele é nunca aumentaram meu limite as vezes passo vergonha com ele por isso dei essa nota,5
no momento tô satisfeita falta do almentar o limite,8
tenho otima experiência com o,10
pelas promoções e bom atendimento,10
taxa de cobrança mensal muito alta .,8
sempre na hora de pagar tem quer na loja pra retirar a fatura,8
o limite do cartão ñ aumenta altomaticamente só isso,5
"muito rápido , prático e sem precisar sair de casa",10
"fácil , pratico e com facilidade em parcelamento das compras",10
é ótimo só precisava aumentar meu limite,10
"eu não gosto de pagar anuidade tendo muitos outros cartões que não cobram . além disso não há outros benefícios como milhas , já que cobram anuidade . por esses motivos não recomendo .",3
atendimento e variedades de produtos,10
cartão muito bom . pena q o limite é pouco,8
juros acessíveis .,9
facilidade e limite,10
otimo cartão de crédito,10
atendimento e algumas ofertas,10
cartão ruim juros abusivo,2
por causa da anuidade e muita alta 17 reais,4
muito bom aumenta meu limite porque não é compatível com minha renda gostei muito do cartão obrigado .,10
pouco límite,3
fácil de usar ... e passo em.99 % dos estabelecimentos,10
estou com limite baixo para realização de compras altas !,0
desconto nas compras parceladas,10
um ótimo cartão,10
"o cartão é bom , a loja e boa , agora a anuidade muito alta",8
limite muito baixo,6
"juros muito alto e mensalidades , nao sabia destas cobranças , nao compensa .",2
"devido a taxa de anuidade para depende , o titular já está pagando",5
crédito liberado !,9
esperei o vendedor 1h . a loja abre 08:00 o vendedor só chegou 09h naquela moleza,6
"simples , por ser um cartão com poucas vantagem pra nós clientes",8
só meu limite que é pouco,10
muito bom . recomendo a todos .,10
aceito em todo território nacional,10
nunca aumenta meu limite,1
apenas por causa da anuidade,7
muito bom mesmo parabens pra voçes agora so estou eperando aumentar o meu limite,10
atendimento e preço bom,9
o limite é pouco,1
praticidade e vantagens nos descontos,10
achei o juros alto para parcelamento de bebidas .,9
o cartão não valoriza o cliente o limite é muito pouco .,5
porque o cartão velho não chega outro na minha casa e ainda mais o limite muito pouco e nunca aumenta pessoal quer comprar uma coisa de valor alto não pode comprar porque o limite é pouco demais,4
nao é complicado,8
gostei dos preços,10
cartão rui vcs tira limite,0
limite demora muito para aumentar,7
super descontos nas lojas e muito mais facilidades .,10
anuidade abusiva,0
ótimo atendimento,10
pra mim está sendo muito bom,10
"não dei uma nota 10 pelo fato da anuidade ser um pouco alta , o que leva grande desvantagem em relação a maioria dos cartões que oferece anuidade grátis . tirando isso , é um ótimo cartão .",9
acomodidades,10
bom atendimento .,10
bom atendimento preço ótimo coisas de boa qualidade,10
limite baixo,4
ruim pra aumentar o limite e pago antes viu,5
fatura só chega atrasada,3
cartão muito bom e prático mas a anuidade é muito alta,7
....,9
estou com o cartão que está restrito,3
ainda não tive problemas com esse cartão,10
rápido é prático .,10
porque fui passa no mercantil que e da mesma rede entrou juros os cartões que eu tenho não enta,7
"boa noite porque tem muita coisa que propaganda enganosa , vc usa o aplicativo quando chega lá não tem o produto",5
muito bom ! ! ! só queria mudar a data de vencimento ! !,10
limite muito baixo .,0
agilidade na compra e facilidade nos serviços,10
"pelo valor da anuidade , estou pensando em cancelar por isso .",7
ótima oportunidade pra donas de casa . prático para o dia a dia tão corrido .,10
"atendimento péssimo , cartão ta bloqueado , maior dificuldade pra desbloquear essa merda , essas atendente telemarketing sem educação , que saber o dia hora data de compras pra desbloquear , não basta vc falar seus dados pessoais , péssimo , pagar as faturas e cancelar 00000 nota 0000",0
quero aumento no cartão,5
o atendimento do vendedor foi maravilhoso,10
cartão top,10
as parcelas sem juros,10
qualidade das mercadorias e a limpeza da loja,8
e prático e rápido séria melhor se eu tivesse o cartão com chip o meu e manual eu tenho que assinar e demorar um pouco,10
passa com facilidade nos estabelecimentos . não dá nenhuma dor de cabeça quando passa nas marquinhas .,10
o que me motivou a dar está nota simples e pq no app estava um valor é quando eu olhei na notinha estava bem mas caro,1
muito bom,10
esse cartão pagar muito anuidade í e muito difícil de aumentar o limite,3
"cartão muito bom , de fácil aceitação , eu gosto luito",10
otimo cartão,9
muito bom gostei,8
tem lugar quê aprova tem lugar que não aprova as compras o meu mesmo tem limite mais não libera .,5
uma loja sem variedades,2
pra mim ele é ótimo por isso minha nota,10
"o que me motivou foi o fato de poder comprar nos supermercados com ótimos descontos e poder parcelar minhas compras com parcelas que cabe no meu bolso , sem falar que posso usa-lo em outros estabelecimentos como lojas de roupas , sapatos entre outros .",9
amo meu cartão,10
atende ao proposto,9
excelente descontos,10
muito bom e ótima aceitação ..,10
devia ter limite maior,6
"fácil de utilizar , seguro e com boas ofertas .",10
demora muito de aumentar o limite,5
porque meu limite era muito e reduziu bastante o valor,3
otimo,10
me atendeu na hora certa,10
limite muito pouco e a tarifa muito alta do padrão,2
porqe e tudo de bom,10
porque ele me atende mais eu acho que se o limite alimentar aí irá merece um 10 e poderei gastar mais,7
estão me cobrando por algo que desconheço a central é uma porcaria mais de 1 hora para ser atendido e quando atentem não tem preparo nenhum para resolver o problema !,0
"poderia melhorar a nota , se pudesse comprar tudo nas lojas e parcelar , sem juros . tem concorrente do vendendo e parcelado compras em 3 vezes , sem juros .",8
pouco limite ! estava pensando em cancelar,7
facilita a sua vida e os atendentes são atenciosos,7
não aumenta o limite,5
muito bom .,10
"apesar te ter anuidade , liberou um bom valor . falta modernizar o app",8
boa noite . gostei muito desse cartão,10
ótimo atendimento e preço,10
a facilidade de localizacão dos produtos e a qualidade dos mesmos .,10
bom aplicativos o,10
"bem atendida , funcionária educada e prestativa",10
ótimo trabalho,10
"meu cartão é antigo , passando somente no  e por isso é injusto pagar anuidade",5
gosto dos produtos,10
"bom eu gostei , más estou esperando o meu limite alimentar , pra dar uma nota melhor",7
atendimento e pontualidade,10
pq é muito útil,8
é muito bom e veio na hora certa,10
"por ser a primeira compra , optei por essa nota .",9
desburocratização e facilidade,10
entra juros se parcela de 2 vezes com o próprio cartão da loja absurdo,1
o nível de receptividade é aceitação .,10
gostei do atendendo,10
cartão é aceito em qualquer lugar ... de descontos nas compras feitas nós supermercados .. ótimo,10
a melhor loja do país,10
"o cartão é muito bom , só o limite é muito limitado , mais estou satisfeito .",9
encontro o  em várias cidades ; só acho os juros alto,8
gostei muito do cartão e gostaria que aumentasse o limite,10
preços mas barato .,10
anuidade grátis,10
top de mais,10
bons descontos e facilidade de pagamento,9
atendimento profissional e rápido .,10
cliente de muitos anos e vocês não aumenta o limite,0
"por conta da anuildade , falaram que ia tirar e vem cbrando",0
condições de pagamento e qualidade,8
cartão com bandeira aceita em todos os lugares,10
o motivo foi que apareceu uma compra em meu cartão porém não utilizei o cartão sendo foi clonado o pior é que a compra foi em uma rede   ...,0
acho que é o suficiente pois tou com quase 5 anos e não almenta nada de limite tenho pagado fatura de até 1.000 reias,7
e prático e atende minha expectativa de um cartão de crédito facilitar muito minha vida,10
é um cartão muito bom só deveria a taxa de mensalidade ser menor,10
app muito dificil de mexer,7
limite muito baixo,0
eu nao indico cartao para ninguém porque voces nao aumenta o limite vou faz tres anos com meu cartão e ate hoje nao aumentaro meu limite,3
o limite é muito baixo e demora subir o limite,6
"não aumenta o limite , o aplicativo precisa ser redesenhado , totalmente diferente dos outros cartões que tenho , paga anuidade caríssima e nunca aumenta meu limite . não indico .",2
tenho uma reclamação sobre anuidade esta muito cara,10
aproveita as ofertas,9
"muito pouco o limite , pago certo e não aumenta .",0
otimo preços,10
tá sendo muito ultiu,8
pelo demora de ser liberado o limite de crédito .,8
grau de satisfação,7
"app péssimo , não atualiza as comprar que fazemos , sem contar a anuidade que é absurdo .",3
por causa da anuidade,4
as faturas não chega na data certa,4
bom preço e bom atendimento .,10
o júris da compra pacejada na loja,5
o motivos da minha nota é pq tenho meu cartão desde 2017 e o limite nunca almenta é eu não cosego fazendo o cartão de crédito ,5
"boa opção de parcelamento , porem com promoções não muito significativas",6
a facilidade de parcelamento,10
"facilidade ao.fazer as compras e é mais prático , também aproveito as promoções .",8
gostaria de mais de mais descontosss,7
cobrança de anuidade,9
"pela anuidade ser um valor alto e nunca ter aumento de limite , já tenho a quase 3 anos , já estou pensando em cancelar , já estou com outro muito bom o limite",1
pq fiz uma compra e foi cancelada e vcs não fizero o estorno pq cartão novamente nem entrou em contato com migo,1
devido a um cartão adicional não existente que vem cobrando em minha fatura . já tentei falar várias vezes na central de atendimento e não consigo . e devido ao meu horário de trabalho fica difícil falar e fora a burocracia para chegar em um atendente responsável .,8
rapidez do processo .,7
ótimo cartão aceito em todas as . redes limite bom apaixonada,10
por causa da taxa de adesão gostaria que fosse sem taxa,8
"gostei do cartão , mas poderia ser sem anuidade .",6
e um bom cartão !,10
mesmo tendo o cartão a anos . o limite é baixo .,2
"porq a esta a desejar en relação às divisão das parcelas , porq o cliente sab quanto pode pagar e n vcs ! tbm o limite q não aumenta",3
por ser o melhor super mercado do nosso bairro .,10
uso bastante na rua e me oferece muitas promoções dentro da loja .,9
o atendimento e agilidade agilidade hein no aplicativo,10
o rotativo é muito pouco a muito tempo que não aumentam o limite,7
pq quando utilizamos um pouco do rotativo o restante vocês jogam para o parcelado,0
no momento está excelente,10
"bom , só falta ter preços mais atrativos pois aqui temos vários atacadistas",8
minha nota e 10 porque esse cartão r maravilhoso,10
pra melhorar precisa aumentar o limite,5
porque é muito bom e tira vc do sufóco . sou a nuidade que e alta,8
"pago em dias , mas nao aúmenta o limite .",6
bom atendimento no caixa,9
"cartao bom , só falta aumentar o limite com mais frequência e facilidade",10
e muito bom o cartao tem suas vantagens,9
e um cartao bom mais o limite é atrapalhado tive q dividi minhas compras pra poder passa todo,5
compra,10
"simplesmente gostei , só que ainda penso em cancelar pois meu limite não aumenta queria uns 3,500 de limite",10
nada é 100,9
uma loja que tem de tudo e pagamentos adequado,10
"eu dei a nota 4 , porque o juros sai muito alto ,",4
maravilhoso,10
acho um absurdo em pagar a taxa da nuidade,8
praticidade libera a compra com rapidez,10
não tive problemas pra passar,10
cartão excelente mas quero alimentar meu limite,10
"falta poder ter escolha de unificar o limite rotativo e parcelado , de o cliente assim quiser ou precisar .",9
o valor da anuidade baixa e a facilidade na compra,10
muito satisfeita,10
porque o cartão e bom,10
por conta do juros,5
satisfaçao,9
"o crato é péssimo . uma porcaria , uma imbecilidade de tirar do limite a vista quando uma compra é parcelada . pq o cartão não funciona normal como todos ? já passei muitos constrangimento por conta disso tenho limite e não posso usar , do nada fico sem limite , do nada aparece limite novamente",0
um otimo cartão sem muita burocracia .,10
o limite do rotativo e muito pouco,6
tem me ajudado no controle das compras de de cada,10
infelizmente sempre pago direito e limite não passa disso,3
não gostei devido que anuidade e muito alta,5
desconto,9
muito bom esse cartão,10
"péssimo , todas as vezes que realizo uma compra vocês descontam 4x mais do meu limite",0
porque esse aplicativo não consigo fazer nada nem entrar,0
o cartão é muito bom conselho a todos fazer também,10
é muito util,10
muito ruim pra aumentar limite '' pra ser sincero é péssimo ! ! !,1
eu gosto do cartão,10
boa tarde pela facilidade de parcelamento,9
compra realizada com sucesso,10
essa anuidade não vale a pena,0
"é um bom cartão , só o meu limite que acho pouco.kkkkk",10
muitas taxas,1
top top top,10
seria melhor se reunir vc sem anuidade .,7
ótimo pq passa em qualquer lugar .,10
satisfeito com produto e insatisfeito com o atendimento,8
eu não tenho problemas e que continue assim,9
o desconto maioria das vezes não paga as taxas do cartão,4
ele e ótimo,10
o melhor cartão,10
acho que tem maiis facilidade para compra e parcelamento,10
bons produtos .. precisa melhorar os descontos,8
pra mim é muito bom passar em todos lugares,10
prazos e qualidade,8
um desconto muito bom,10
a aprovação da compra foi super rápida,10
muito bom pra comprar .,10
anuidade do cartão,1
"o cartão não lhe da vantagem quanto aos preços , e nem quanto ao parcelamento das compras , parece que estamos utilizando um cartão de outra bandeira e não da própria empresa . atendimento péssimo , pouca variedade nos produtos .",1
"não me decepcina , amo este cartão !",10
agilidade e facilidade de uso !,10
por enquanto é bom .,8
não opinarei,7
um bom limite e app simples e fácil,10
descontos especiais no uso do cartão,10
excelebte,10
"sou cliente mas de 20 anos .sempre realiso compra aki ,",8
"o cartão em si e perfeito mais esse aplicativo estressa qualquer um , sem falar que não há suporte para ver as faturas no app bradescard",6
estou querendo um aumento de limite,10
"ao receber o novo cartão fui logo desbloqueando , e só depois descobri que a senha chegaria pelo correio , e não chegava no mesmo tempo do cartão . pelo fato de desbloquear o novo , fiquei sem conseguir usar o antigo , e por falta de senha durante 2 meses fiquei sem utilizar o cartão .",8
aceita em vários lugares,10
prático e objetivo !,10
pouco limite no rotativo ! eu não parcela compras de supermercado nunca tem limite .,8
cartão muito bom,10
preço bom e ótimo atendimento .,10
um limite ótimo disponibilizado num momento que precisei .,10
passa em qualquer estabelecimento,10
há algum tempo participo da familia e até agora não me decepcionei .,10
cartão muito bom que pena que não me deu aumentou meu limite,10
fui bem atendida,9
tenho limite no parcelado e não consigo usar e outra me cobram anuidade de um cartão que nunca foi desbloqueado,0
atendimento fasilidade pra fazer as compras,10
"atende as minhas necessidades , estou satisfeito com os serviços do cartão .",10
preços,10
"esse cartão e se sensacional . muito bom mesmo , me atende perfeitamente e ainda tem muitos descontos no supermercado .",10
nada em empreendimento e 100 % correto .,8
mim ajuda muito . com supermercado . farmácia e outros .,10
prático rápido,10
excelente recepção .,10
muito bom para usar é fácil acessar o aplicativo,10
"essa coisa de pagar anuidade e coisa do passado . tenho outros 4 cartões , e nenhum eu pago anuidade . hoje vi que a fatura e fechou e esse cartão cobra essa tarifa . provavelmente irei cancelar , já que os outros eu não pago .",4
cartão foi clonado .,0
falta melhorar a questão do app e a opção de antecipar parcelas seria perfeito,8
muito bom o cartão,10
a facilidade e muito fácil,10
adede são pescor,8
pelo atendimento e promoções .,10
o limite nunca aumenta,7
"gosto muito do cartão , só tem um problema que quando chega final de mês eu ainda tenho limite mas vocês bloqueiam eu não consigo usar mais até pagar a próxima fatura .",8
o cartão atende bem,10
por que pasa entoudo local,10
pouco limite,2
poruqe não existe nada 100 % bom,8
"sem burocracia , tranquilo !",10
qualidade e eficiência .,10
"meu limite e pouco , não aumenta pq ?",1
"é muito útil o cartão . só gostaria que o limite fosse maior , pois em algumas situações e emergências , faz falta um limite maior .",8
"se não tivéssemos que pagar anuidade , seria 10 , pois é um bom cartao",8
o mal atendimento no caixa e não cumprimento dos caixas preferências para pessoais pertencentes segundo a lei .,3
o cartão facilita minha vida no meu dia a dia porque  ele tem vários bairros de feira de santana e para onde eu for eu levo o meu cartão de  é por isso que facilita para mim,10
nunca tive problemas,8
sempre que uso aumenta meu limite .,10
por que é ruim que não temos como ter um aplicativo pra ver os limites pra ver só quando compra que chegar a mensagem mostrando o limite do cartão muito ruim ainda o valor da anuidade tá caro cada vez subindo o valor e melhora nada pra o cliente e tem também a fatura que demoram pra enviar o fatura pra e-mail,4
nao consigo aumentar o limite já 4 anos,7
a nuidade e um abisudo e o limite nunca alimenta principalmente quando eu sou um ótima cliente nunca atrazei uma prestação meu limite e um porcaria,0
atendimento prático e satisfatorio pelo vendedor e a entrega no prazo estabelecido .,9
pouco limite no cartão e muita burocracia pra dar aumento de limite,5
"não deveria pagar anuidade , tenho outros cartões que não cobra anuidade .",2
"estou a utilizar um cartão 10 e não consigo renovar . o cartão , ta prestes a ser inutilizavel",4
facilidade limite auto eu preciso,10
muito bem atendida,10
nunca tive nenhum problema,10
boas ofertas e otimo atendimento,10
já sou cliente a mais de 20 anos não fico sem pagar minhas faturas é meu limite nunca aumentou teja enviei comprovante de meus rendimento que por sinal é um salário bem razoável e você nunca aumentaram meu limite tenho outro cartões e meus limite são bem alto por exemplo meu limite do banco do brasil é trinta mil da riachuelo oito mil é setecentos do burbank três mil só vocês não almenta meu limite porquer não sei,1
não estava pacelando,0
precisa melhorar os preços dos alimentos .,8
bom cartão porem não e limite único se compra avista e tiver pouco limite avista depois for comprar no parcelado não passa por conta do limite avista isso e um ponto negativo e outra já tem 6 meses sempre compro e não alimentou limite ate hoje enteou pensando em ate cancelar,5
esse cartão e muito bom gosto muito de faz comprar com ele só tem um problema demora de mais p almenta o limite queria mais,10
anuidade e nao sobe limite,5
bom dia . pelo bom atendimento .,10
valor da anuidade é muito alta .,3
ótimo cartao,9
local amplo bem arejado facilidades em encontrar as coisas,9
atende as minhas necessidades .,10
a própria loja cobra juros no parcelamento enquanto compras em outro mercado divide sem juros,8
os desconto q têm na loja,10
super indico,10
estou satisfeita com minhas compras !,10
"toda vez que tento pagar alguma coisa ele bloquiea , limite muito baixo , tenho cartões com 2 vezes maisor que este cartão michuruco",1
a nota e nove ? ? ? ?,9
compro la ha muitos anos ; senao nao estaria la,10
"apesar de ter o cartão muitos anos , nunca recebi bandeirado .",8
